zone,q,logR,logRho,logT,logP,logPgas,luminosity,x_mass_fraction_H,y_mass_fraction_He,z_mass_fraction_metals,gamma1,opacity,pp,cno,gradr,gradT,grada,actual_gradT
165,9.99999984299157000E-01,4.24558679960731000E-01,-6.37814831194846000E+00,5.07445431164567000E+00,6.85346456030212000E+00,6.82187317477865000E+00,5.85006666227485000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57879451824790000E+00,7.95849238765494000E+00,6.15030364824555000E-26,0.00000000000000000E+00,2.54421361489394000E-01,2.54421361489394000E-01,3.38946762743245000E-01,2.54421342322482000E-01
166,9.99999983420250000E-01,4.24444650129528000E-01,-6.36359555852455000E+00,5.07943631708924000E+00,6.87303431044396000E+00,6.84141588029982000E+00,5.85006666224893000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57876663290909000E+00,7.99459242943210000E+00,6.36008801700243000E-26,0.00000000000000000E+00,2.55471247645165000E-01,2.55471247645165000E-01,3.38919523855526000E-01,2.55471213932617000E-01
167,9.99999982834313000E-01,4.24371087733922000E-01,-6.35243212037089000E+00,5.08329280672791000E+00,6.88808901719195000E+00,6.85644253727439000E+00,5.85006666223147000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57873431348546000E+00,8.02378766485353000E+00,6.52585348666814000E-26,0.00000000000000000E+00,2.56189031821638000E-01,2.56189031821638000E-01,3.38889990848674000E-01,2.56189013139396000E-01
168,9.99999982248375000E-01,4.24299356158889000E-01,-6.34165000888925000E+00,5.08703302425368000E+00,6.90264875017049000E+00,6.87097193350462000E+00,5.85006666221387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57870021855748000E+00,8.05409645815093000E+00,6.69005903888708000E-26,0.00000000000000000E+00,2.56910252595470000E-01,2.56910252595470000E-01,3.38858399691464000E-01,2.56910254897437000E-01
169,9.99999981662438000E-01,4.24229349256244000E-01,-6.32868832022487000E+00,5.09156775488535000E+00,6.92019883862963000E+00,6.88847743565031000E+00,5.85006666219614000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57865136814101000E+00,8.09316115360046000E+00,6.89293938517452000E-26,0.00000000000000000E+00,2.57645586281836000E-01,2.57645586281836000E-01,3.38812944378998000E-01,2.57645591169633000E-01
170,9.99999980783531000E-01,4.24127366108129000E-01,-6.31499801997626000E+00,5.09635745468509000E+00,6.93873556655827000E+00,6.90696698985978000E+00,5.85006666216931000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57860991362311000E+00,8.13976055186298000E+00,7.11391235217859000E-26,0.00000000000000000E+00,2.58797872667998000E-01,2.58797872667998000E-01,3.38768911731062000E-01,2.58797883392602000E-01
171,9.99999980051110000E-01,4.24044964925007000E-01,-6.29959251616992000E+00,5.10182170323486000E+00,6.95968447396699000E+00,6.92784690339381000E+00,5.85006666214673000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57855452920406000E+00,8.19729228241860000E+00,7.37105664132205000E-26,0.00000000000000000E+00,2.59809470147584000E-01,2.59809470147584000E-01,3.38707889637561000E-01,2.59809492366043000E-01
172,9.99999978879234000E-01,4.23917625604284000E-01,-6.28213857453449000E+00,5.10802761728309000E+00,6.98343628382690000E+00,6.95151707738545000E+00,5.85006666211022000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57851158389184000E+00,8.27205336336363000E+00,7.67364771067375000E-26,0.00000000000000000E+00,2.61512591128532000E-01,2.61512591128532000E-01,3.38645336508139000E-01,2.61512611020568000E-01
173,9.99999977780602000E-01,4.23802851731539000E-01,-6.26409431346954000E+00,5.11453288579040000E+00,7.00810013987100000E+00,6.97607725095512000E+00,5.85006666207557000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57846120794100000E+00,8.35673762497387000E+00,7.99954503676460000E-26,0.00000000000000000E+00,2.63173892275919000E-01,2.63173892275919000E-01,3.38568699712951000E-01,2.63173891733646000E-01
174,9.99999976389000000E-01,4.23663265477824000E-01,-6.24783389369227000E+00,5.12041505541689000E+00,7.03035087951601000E+00,6.99823004516577000E+00,5.85006666203115000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57842764321923000E+00,8.44006913203122000E+00,8.30507055592340000E-26,0.00000000000000000E+00,2.65284177310592000E-01,2.65284177310592000E-01,3.38502383162131000E-01,2.65284162257901000E-01
175,9.99999975412438000E-01,4.23568833648315000E-01,-6.23506673638661000E+00,5.12509442304367000E+00,7.04789616250294000E+00,7.01568521456494000E+00,5.85006666199963000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57839219431712000E+00,8.50811969150878000E+00,8.55311970832210000E-26,0.00000000000000000E+00,2.66736017479930000E-01,2.66736017479930000E-01,3.38440320668976000E-01,2.66736009790072000E-01
176,9.99999974435875000E-01,4.23477078481877000E-01,-6.22401277357351000E+00,5.12916901376190000E+00,7.06311547100390000E+00,7.03082133734839000E+00,5.85006666196783000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57836209751668000E+00,8.56920284670619000E+00,8.77386323610773000E-26,0.00000000000000000E+00,2.68131998702053000E-01,2.68131998702053000E-01,3.38384402556040000E-01,2.68131989550687000E-01
177,9.99999973654625000E-01,4.23405478718547000E-01,-6.21220798785283000E+00,5.13357361304815000E+00,7.07943346775185000E+00,7.04703878824051000E+00,5.85006666194219000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57832136301159000E+00,8.63642278748325000E+00,9.01589835475429000E-26,0.00000000000000000E+00,2.69211100705991000E-01,2.69211100705991000E-01,3.38315078305536000E-01,2.69211078671988000E-01
178,9.99999972482750000E-01,4.23300895421361000E-01,-6.19861184795715000E+00,5.13867008233364000E+00,7.09825641070873000E+00,7.06574045643811000E+00,5.85006666190340000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57827883748983000E+00,8.71858765634910000E+00,9.30295160010879000E-26,0.00000000000000000E+00,2.70797662616068000E-01,2.70797662616068000E-01,3.38233214488623000E-01,2.70797641899680000E-01
179,9.99999971310875000E-01,4.23199463368923000E-01,-6.18560680906505000E+00,5.14358804819522000E+00,7.11631383500867000E+00,7.08367211462659000E+00,5.85006666186421000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57823639141655000E+00,8.80255380329794000E+00,9.58607818315512000E-26,0.00000000000000000E+00,2.72387814507203000E-01,2.72387814507203000E-01,3.38147803173438000E-01,2.72387784133533000E-01
180,9.99999970139000000E-01,4.23100955690364000E-01,-6.17113561851068000E+00,5.14912906293601000E+00,7.13649151843599000E+00,7.10369436461839000E+00,5.85006666182464000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57817827340273000E+00,8.90320425648669000E+00,9.91126989315308000E-26,0.00000000000000000E+00,2.73995130190887000E-01,2.73995130190887000E-01,3.38039782582970000E-01,2.73995093002761000E-01
181,9.99999968576500000E-01,4.22973817480001000E-01,-6.15540812256692000E+00,5.15520206282960000E+00,7.15848425343398000E+00,7.12550622270233000E+00,5.85006666177130000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57810678195824000E+00,9.02335743585557000E+00,1.02772224991121000E-25,0.00000000000000000E+00,2.76191172184121000E-01,2.76191172184121000E-01,3.37913804484694000E-01,2.76191145471889000E-01
182,9.99999967014000000E-01,4.22851095207242000E-01,-6.13868719270148000E+00,5.16175914950433000E+00,7.18198961680587000E+00,7.14879603573331000E+00,5.85006666171733000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57800124834343000E+00,9.16106974050794000E+00,1.06811306447106000E-25,0.00000000000000000E+00,2.78418878731385000E-01,2.78418878731385000E-01,3.37758398421273000E-01,2.78418846417220000E-01
183,9.99999965060875000E-01,4.22703348377595000E-01,-6.12115667083070000E+00,5.16871237964691000E+00,7.20672891416221000E+00,7.17329026703184000E+00,5.85006666164899000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57786128183906000E+00,9.31375338629936000E+00,1.11216624665277000E-25,0.00000000000000000E+00,2.81130127822422000E-01,2.81130127822422000E-01,3.37576055883974000E-01,2.81130122973690000E-01
184,9.99999963107750000E-01,4.22561304559958000E-01,-6.10783711132191000E+00,5.17403778830630000E+00,7.22557739037476000E+00,7.19194179949500000E+00,5.85006666157969000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57773351200804000E+00,9.43320352015627000E+00,1.14684903893113000E-25,0.00000000000000000E+00,2.83676627703635000E-01,2.83676627703635000E-01,3.37424449592077000E-01,2.83676643678361000E-01
185,9.99999961935875000E-01,4.22478588244910000E-01,-6.09208731107586000E+00,5.18049285107629000E+00,7.24805951835017000E+00,7.21415399910807000E+00,5.85006666153765000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57751523177600000E+00,9.57390371467521000E+00,1.18925908631435000E-25,0.00000000000000000E+00,2.85053289040351000E-01,2.85053289040351000E-01,3.37201667153101000E-01,2.85053312028453000E-01
186,9.99999959201500000E-01,4.22292284463527000E-01,-6.07560532404796000E+00,5.18721995903219000E+00,7.27155487971635000E+00,7.23737104253967000E+00,5.85006666143817000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57727239982106000E+00,9.72341800538853000E+00,1.23532217672892000E-25,0.00000000000000000E+00,2.87884660129105000E-01,2.87884660129105000E-01,3.36967901793573000E-01,2.87884658605870000E-01
187,9.99999957639000000E-01,4.22189687382178000E-01,-6.06351789562221000E+00,5.19224003495962000E+00,7.28889394490104000E+00,7.25448485434672000E+00,5.85006666138046000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57705030240807000E+00,9.83280688334592000E+00,1.27023448385714000E-25,0.00000000000000000E+00,2.89317664464490000E-01,2.89317664464490000E-01,3.36770069898810000E-01,2.89317645408985000E-01
188,9.99999955881187000E-01,4.22077350465528000E-01,-6.05257168281359000E+00,5.19680460031435000E+00,7.30461995951810000E+00,7.27000141696616000E+00,5.85006666131476000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57683296851903000E+00,9.93238814090559000E+00,1.30270178210955000E-25,0.00000000000000000E+00,2.90750670684245000E-01,2.90750670684245000E-01,3.36582083030109000E-01,2.90750637870755000E-01
189,9.99999954514000000E-01,4.21992093825669000E-01,-6.04139882763403000E+00,5.20151814944124000E+00,7.32073993791064000E+00,7.28589374752842000E+00,5.85006666126310000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57658334543742000E+00,1.00338660900017000E+01,1.33669788696314000E-25,0.00000000000000000E+00,2.91756707455178000E-01,2.91756707455178000E-01,3.36371825123601000E-01,2.91756641997436000E-01
190,9.99999952560875000E-01,4.21873308340932000E-01,-6.02876695392731000E+00,5.20686499716386000E+00,7.33898853088903000E+00,7.30387908594862000E+00,5.85006666118843000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57628342557379000E+00,1.01486652973730000E+01,1.37620390383761000E-25,0.00000000000000000E+00,2.93040017910377000E-01,2.93040017910377000E-01,3.36123135891295000E-01,2.93039954104782000E-01
191,9.99999950607750000E-01,4.21757834691910000E-01,-6.01548662814839000E+00,5.21253342893957000E+00,7.35823421022879000E+00,7.32283488440220000E+00,5.85006666111274000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57593513414948000E+00,1.02676325418675000E+01,1.41899853284010000E-25,0.00000000000000000E+00,2.94155381449421000E-01,2.94155381449421000E-01,3.35841900288614000E-01,2.94155358153256000E-01
192,9.99999948264000000E-01,4.21623323387714000E-01,-6.00388973090673000E+00,5.21748172033963000E+00,7.37504008985876000E+00,7.33938612253808000E+00,5.85006666102055000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57561493849083000E+00,1.03694569020730000E+01,1.45745625510203000E-25,0.00000000000000000E+00,2.95274638020581000E-01,2.95274638020581000E-01,3.35590065077098000E-01,2.95274609333325000E-01
193,9.99999946701500000E-01,4.21535945111926000E-01,-5.99060872006338000E+00,5.22323862143611000E+00,7.39439986364438000E+00,7.35843063217498000E+00,5.85006666095825000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57519313353554000E+00,1.04804694241638000E+01,1.50278178624167000E-25,0.00000000000000000E+00,2.95853343080848000E-01,2.95853343080848000E-01,3.35271009265337000E-01,2.95853311079385000E-01
194,9.99999943576500000E-01,4.21366301320416000E-01,-5.97782182794373000E+00,5.22871731383312000E+00,7.41296169845659000E+00,7.37670172778402000E+00,5.85006666083163000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57479041552990000E+00,1.05828125036184000E+01,1.54775337361421000E-25,0.00000000000000000E+00,2.96678743274109000E-01,2.96678743274109000E-01,3.34974149100943000E-01,2.96678735499560000E-01
